#{"t_start": 1615205539.1109385}
r,l,t,rew_unnormalized,forces
1.147488,32.0,17207.794182777405,-4618.312,813.0357
1.0321865,32.0,17220.5204706192,-6138.5137,816.5401
1.1675181,32.0,17233.18297982216,-4341.4004,810.45953
1.1263554,32.0,17245.702845335007,-4879.46,846.4947
1.1562775,32.0,17258.37046766281,-4477.2183,853.0541
1.2264034,32.0,17271.14143896103,-3544.2385,799.52155
1.179212,32.0,17283.77973628044,-4160.9526,820.0017
1.168789,32.0,17296.605837583542,-4292.305,817.4743
1.2191011,32.0,17309.462737321854,-3621.7737,806.2826
1.135728,32.0,17322.478875637054,-4715.1226,833.5344
1.2143302,32.0,17335.399834156036,-3672.0515,807.868
1.1402488,32.0,17348.187084197998,-4642.2,833.4782
1.154293,32.0,17360.278609275818,-4450.831,821.11914
1.2135136,32.0,17373.057299137115,-3664.561,796.9079
1.1977419,32.0,17385.89567732811,-3865.5762,832.1587
1.216528,32.0,17398.51348257065,-3611.8687,830.56354
1.1490096,32.0,17411.07190346718,-4493.512,804.7511
1.1532601,32.0,17423.94913673401,-4431.477,824.9038
1.1733887,32.0,17436.46246623993,-4160.444,803.06506
1.2163079,32.0,17449.205425977707,-3590.137,821.1323
1.2116209,32.0,17461.801030397415,-3645.291,790.91266
1.1241153,32.0,17473.986643075943,-4787.718,868.7709
1.1392077,32.0,17486.931075572968,-4583.0864,836.83093
1.1508192,32.0,17499.75213599205,-4424.9814,806.9602
1.1275207,32.0,17512.808974981308,-4724.1577,831.87006
1.1925551,32.0,17525.745568990707,-3865.495,835.7834
1.1249812,32.0,17538.019936800003,-4744.5093,836.7575
1.1721798,32.0,17550.18944501877,-4120.5195,808.92633
1.2077229,32.0,17562.94582605362,-3648.88,799.53326
1.1578313,32.0,17575.70207285881,-4295.305,805.31006
1.1962266,32.0,17588.530378341675,-3786.6968,839.6841
1.2243634,32.0,17600.825259447098,-3412.4595,814.0801
1.1211941,32.0,17613.6044754982,-4754.629,826.09045
1.1707691,32.0,17626.47980117798,-4100.8867,832.308
1.1722667,32.0,17638.723518133163,-4075.0935,807.6199
1.1320859,32.0,17650.762911081314,-4593.3477,828.723
1.1110419,32.0,17663.36178779602,-4862.3174,831.8642
1.1200709,32.0,17676.132497549057,-4737.7495,840.2159
1.1741434,32.0,17688.83899331093,-4027.1729,822.25446
1.1758034,32.0,17701.43915295601,-3999.2903,840.408
1.1848359,32.0,17714.386379241943,-3875.6274,819.6264
1.2158308,32.0,17727.282908678055,-3465.5085,805.4743
1.1489303,32.0,17740.074741125107,-4329.9814,849.7418
1.1831106,32.0,17752.46160387993,-3879.2432,835.73706
1.14533,32.0,17765.19273996353,-4364.4614,819.9665
1.1987586,32.0,17777.88034582138,-3663.652,818.0101
1.170853,32.0,17790.533821582794,-4020.0254,797.1757
1.155403,32.0,17803.230937242508,-4214.972,830.13055
1.2191994,32.0,17816.34380364418,-3380.1611,796.61615
1.179926,32.0,17829.30236840248,-3883.6487,820.9607
1.1814852,32.0,17842.432737588882,-3857.0947,833.0387
1.1823065,32.0,17855.040487766266,-3840.4053,846.2975
1.1732507,32.0,17867.04408121109,-3951.5889,841.6022
1.1612384,32.0,17879.537091493607,-4101.3667,818.9631
1.1992909,32.0,17892.359681367874,-3602.3545,816.79956
1.1947608,32.0,17905.06184744835,-3654.8806,836.5067
1.1354121,32.0,17918.192775011063,-4416.945,863.69653
1.1880666,32.0,17930.886242628098,-3729.642,830.22736
1.1584648,32.0,17943.60251545906,-4106.648,823.7191
1.1916889,32.0,17956.31322979927,-3671.0134,793.5775
1.1563103,32.0,17969.18625998497,-4121.9424,841.9075
1.1305534,32.0,17982.0438849926,-4448.7095,834.28516
1.1728836,32.0,17994.696792840958,-3896.1865,814.3364
